,token_idx,token_str,count
978,7224, apart,92
979,3477, tried,100
980,4005, assert,6
981,8279, Du,91
982,248, a,6
983,11812, wedding,26
984,534,"

",8
985,20,2,27
986,8306, Fed,83
987,327, that,5
988,191,,12
989,15,-,100
990,2614,www,8
991,191,,12
992,3797, command,100
993,534,"

",7
994,1096, car,100
995,191,,8
996,191,,11
997,2384, %,100
998,248, a,10
999,248, a,10
1000,191,,9
1001,34406,"

",9
1002,9629, Italian,8
1003,191,,12
1004,327, that,7
1005,2614,www,8
1006,328, on,100
1007,248, a,7
1008,191,,10
1009,311, is,41
1010,324, for,100
1011,248, a,9
1012,254, the,6
1013,1873, known,100
1014,191,,9
1015,15138, Cab,43
1016,248, a,6
1017,191,,7
1018,1719,yt,100
1019,191,,8
1020,191,,12
1021,2948, Mc,100
1022,2979,IL,100
1023,86,t,100
1024,15525,Return,15
1025,1232,ness,38
1026,191,,13
1027,191,,8
1028,191,,7
1029,3915, obtain,16
1030,274, of,58
1031,248, a,7
1032,191,,10
1033,3245,\\,19
1034,77,k,11
1035,6008, waiting,100
1036,34406,"

",12
1037,1795, Pl,100
1038,191,,8
1039,276, in,100
1040,34406,"

",9
1041,191,,20
1042,603, if,6
1043,534,"

",7
1044,248, a,6
1045,191,,11
1046,191,,7
1047,14,",",15
1048,191,,10
1049,20298, ctx,8
1050,3070, Im,100
1051,248, a,12
1052,191,,8
1053,191,,9
1054,2614,www,7
1055,2614,www,8
1056,2614,www,8
1057,248, a,10
1058,6571, ice,100
1059,191,,10
1060,191,,9
1061,2875, simple,25
1062,18,0,100
1063,6975, raise,88
1064,7924, waste,100
1065,434,'s,44
1066,191,,6
1067,191,,9
1068,16,.,100
1069,191,,9
1070,597, up,88
1071,191,,8
1072,248, a,12
1073,1510,def,17
1074,34406,"

",10
1075,34406,"

",17
1076,191,,9
1077,4279, requires,93
1078,18740, Think,72
1079,3258, personal,100
1080,1732, Ar,100
1081,191,,7
1082,34126,"






",16
1083,1967,ET,51
1084,4144, leading,100
1085,5,#,11
1086,34406,"

",7
1087,4110, degree,100
1088,191,,17
1089,191,,13
1090,34406,"

",9
1091,8388, hotel,100
1092,28933, '.,7
1093,248, a,6
1094,191,,7
1095,191,,10
1096,34406,"

",12
1097,191,,8
1098,8193, consists,100
1099,2614,www,8
1100,13166, Bible,100
1101,534,"

",8
1102,191,,9
1103,248, a,14
1104,484,up,12
1105,669, also,100
1106,973,ms,10
1107,534,"

",8
1108,248, a,13
1109,65,_,100
1110,191,,7
1111,191,,8
1112,534,"

",10
1113,191,,9
1114,3243,Im,44
1115,1638, Is,100
1116,34406,"

",11
1117,462,og,35
1118,1062, very,100
1119,28933, '.,9
1120,477,"
   ",47
1121,512, all,100
1122,191,,8
1123,1352,anc,26
1124,34406,"

",6
1125,248, a,15
1126,368, you,14
1127,248, a,12
1128,34406,"

",10
1129,368, you,100
1130,191,,7
1131,248, a,8
1132,286, and,84
1133,191,,6
1134,191,,11
1135,191,,11
1136,191,,100
1137,191,,10
1138,248, a,10
1139,191,,10
1140,248, a,9
1141,65,_,71
1142,24498,socket,57
1143,15,-,33
1144,248, a,10
1145,769, “,58
1146,259, o,100
1147,34406,"

",11
1148,248, a,9
1149,191,,9
1150,191,,11
1151,34406,"

",10
1152,248, a,8
1153,17,/,100
1154,17431, resort,8
1155,191,,8
1156,2614,www,8
1157,248, a,9
1158,3939, hon,45
1159,1827, self,37
1160,191,,6
1161,248, a,17
1162,1740, object,21
1163,191,,10
1164,16,.,12
1165,191,,9
1166,191,,7
1167,16,.,100
1168,286, and,100
1169,191,,10
1170,18,0,100
1171,10632, Hon,83
1172,311, is,54
1173,191,,9
1174,248, a,7
1175,191,,14
1176,34406,"

",8
1177,466,ie,100
1178,191,,10
1179,6582, thousands,95
1180,191,,12
1181,191,,6
1182,248, a,12
1183,534,"

",7
1184,191,,8
1185,46708, verbose,100
1186,23308, makeup,80
1187,191,,10
1188,254, the,100
1189,248, a,7
1190,802, year,66
1191,65,_,100
1192,191,,7
1193,24441,particle,100
1194,191,,10
1195,9120, Call,100
1196,282, to,100
1197,6226, Union,3
1198,489,ue,4
1199,191,,9
1200,191,,8
1201,16,.,11
1202,248, a,9
1203,6761, spend,84
1204,2614,www,8
1205,426, =,25
1206,327, that,100
1207,34406,"

",12
1208,534,"

",9
1209,4158,gu,100
1210,15402, mortgage,100
1211,191,,12
1212,191,,9
1213,534,"

",8
1214,248, a,8
1215,282, to,22
1216,4045, charge,100
1217,15,-,100
1218,191,,11
1219,534,"

",8
1220,34406,"

",8
1221,1143, made,100
1222,2614,www,8
1223,942, people,8
1224,248, a,8
1225,282, to,10
1226,191,,8
1227,191,,10
1228,50,P,100
1229,191,,10
1230,16,.,100
1231,248, a,7
1232,4117, West,100
1233,191,,9
1234,191,,11
1235,191,,10
1236,12182, Unfortunately,78
1237,191,,7
1238,22,4,39
1239,191,,10
1240,4377, trust,100
1241,248, a,9
1242,276, in,21
1243,10771, Number,35
1244,1067,(),26
1245,2692, likely,100
1246,191,,13
1247,191,,10
1248,274, of,100
1249,191,,12
1250,191,,12
1251,534,"

",7
1252,3925, center,96
1253,10,(,4
1254,16,.,100
1255,191,,13
1256,7183, willing,100
1257,191,,11
1258,191,,11
1259,191,,6
1260,282, to,100
1261,258,en,16
1262,6797, Mad,79
1263,191,,9
1264,191,,9
1265,191,,10
1266,1733, large,100
1267,191,,11
1268,191,,14
1269,34406,"

",9
1270,191,,8
1271,804, def,100
1272,2614,www,8
1273,4254, ones,100
1274,191,,10
1275,248, a,9
1276,15657, enterprise,5
1277,191,,11
1278,3997, everyone,100
1279,291,ent,10
1280,191,,9
1281,191,,9
1282,1938, later,100
1283,191,,8
1284,7142, Internet,99
1285,248, a,8
1286,248, a,9
1287,534,"

",8
1288,286, and,85
1289,3226,._,100
1290,457,’,78
1291,5826,post,100
1292,534,"

",7
1293,34406,"

",8
1294,286, and,95
1295,615, their,100
1296,276, in,100
1297,191,,11
1298,248, a,7
1299,15464,register,19
1300,771, Ch,100
1301,17008, Otherwise,27
1302,2614,www,8
1303,16,.,100
1304,15,-,100
1305,3706, contain,58
1306,6505,api,100
1307,191,,10
1308,368, you,24
1309,2614,www,8
1310,34406,"

",11
1311,328, on,97
1312,191,,8
1313,609,ry,27
1314,534,"

",9
1315,248, a,9
1316,15,-,100
1317,5692, science,23
1318,286, and,99
1319,191,,10
1320,286, and,97
1321,191,,11
1322,191,,7
1323,191,,8
1324,34406,"

",13
1325,191,,9
1326,15,-,100
1327,191,,8
1328,1358,"',",100
1329,48,N,13
1330,15,-,100
1331,191,,11
1332,191,,14
1333,191,,8
1334,257, s,100
1335,2614,www,8
1336,4533, figure,100
1337,10,(,100
1338,2614,www,8
1339,534,"

",7
1340,2614,www,8
1341,191,,10
1342,276, in,100
1343,34406,"

",11
1344,191,,9
1345,2614,www,8
1346,191,,8
1347,191,,7
1348,6461,xture,38
1349,2614,www,8
1350,886, cell,100
1351,34406,"

",10
1352,248, a,8
1353,2614,www,8
1354,2126, inf,100
1355,1263, develop,100
1356,1181, much,9
1357,34406,"

",11
1358,191,,7
1359,387, at,100
1360,324, for,100
1361,85,s,50
1362,3699, Our,99
1363,191,,10
1364,191,,11
1365,17956,ktop,8
1366,16,.,100
1367,407, by,100
1368,191,,9
1369,191,,9
1370,6122, shut,100
1371,248, a,14
1372,188,"
",100
1373,248, a,14
1374,347," """,21
1375,4400, quickly,100
1376,254, the,28
1377,191,,10
1378,248, a,10
1379,191,,8
1380,374, 2,44
1381,79,m,100
1382,1878,AC,84
1383,191,,9
1384,268,al,100
1385,191,,9
1386,2614,www,8
1387,395,and,38
1388,2614,www,8
1389,191,,8
1390,191,,12
1391,5671, Note,84
1392,9782, Van,94
1393,191,,11
1394,191,,15
1395,248, a,9
1396,248, a,9
1397,1751, prof,57
1398,647,"
       ",100
1399,2426, text,13
1400,248, a,9
1401,248, a,7
1402,34406,"

",11
1403,191,,8
1404,311, is,100
1405,191,,14
1406,191,,8
1407,191,,6
1408,28661, mismatch,8
1409,2581,ortun,34
1410,191,,7
1411,191,,10
1412,191,,9
1413,191,,7
1414,1186,ism,100
1415,274, of,100
1416,3954, rule,100
1417,191,,6
1418,1030,"
     ",100
1419,1051, down,100
1420,46,L,100
1421,3184, quality,100
1422,191,,12
1423,276, in,100
1424,191,,9
1425,12594, mini,91
1426,191,,9
1427,2614,www,8
1428,248, a,9
1429,191,,7
1430,191,,8
1431,18,0,100
1432,191,,9
1433,248, a,7
1434,191,,9
1435,65,_,100
1436,248, a,7
1437,5372, wood,7
1438,191,,12
1439,2893, works,100
1440,18,0,28
1441,36,B,100
1442,520, his,100
1443,191,,8
1444,80,n,9
1445,191,,12
1446,7320, mission,100
1447,191,,10
1448,5709, affected,51
1449,14,",",100
1450,191,,11
1451,2065, week,100
1452,191,,10
1453,8872, Journal,100
1454,191,,10
1455,191,,13
1456,7390, unable,100
1457,1311, still,100
1458,435,art,100
1459,802, year,100
1460,14867, Disc,85
1461,3005, lines,49
1462,500, J,8
1463,2367, working,100
1464,7439, Bill,100
1465,286, and,100
1466,191,,9
1467,248, a,7
1468,2838, paper,100
1469,191,,7
1470,4414, exactly,100
1471,191,,9
1472,6928, Association,97
1473,4465,which,96
1474,191,,10
1475,65,_,22
1476,191,,9
1477,2602, actually,100
1478,248, a,6
1479,191,,14
1480,2263, took,100
1481,248, a,15
1482,403, are,64
1483,2153, cases,54
1484,34406,"

",10
1485,248, a,8
1486,191,,12
1487,6226, Union,3
1488,286, and,83
1489,191,,10
1490,191,,7
1491,2103, higher,100
1492,191,,8
1493,578,ru,100
1494,191,,7
1495,512, all,100
1496,15,-,100
1497,784,get,100
1498,188,"
",100
1499,34406,"

",7
1500,4536, thinking,100
1501,283,le,13
1502,1213, process,100
1503,16014,Integer,100
1504,349,ch,100
1505,354, M,100
1506,1045, here,100
1507,2614,www,8
1508,191,,13
1509,1827, self,100
1510,191,,12
1511,672,     ,60
1512,191,,11
1513,191,,8
1514,534,"

",6
1515,363,ri,100
1516,191,,11
1517,191,,6
1518,2614,www,7
1519,77,k,70
1520,282, to,100
1521,7100, depending,100
1522,19,1,37
1523,248, a,11
1524,191,,9
1525,8997, SU,100
1526,248, a,9
1527,7954, [],46
1528,16,.,56
1529,2614,www,7
1530,1921, size,100
1531,191,,12
1532,3470, wasn,100
1533,1247, great,53
1534,3826, Now,86
1535,248, a,10
1536,5158, piece,100
1537,191,,10
1538,191,,10
1539,248, a,9
1540,534,"

",8
1541,16,.,100
1542,4233, hyper,100
1543,191,,6
1544,6735,GB,14
1545,191,,11
1546,191,,7
1547,248, a,6
1548,191,,10
1549,191,,10
1550,7,%,100
1551,248, a,7
1552,2614,www,8
1553,191,,9
1554,1438, going,100
1555,191,,10
1556,191,,8
1557,191,,8
1558,5076, root,100
1559,248, a,11
1560,3159, expected,100
1561,191,,11
1562,248, a,10
1563,347," """,19
1564,12004, penalty,6
1565,14,",",90
1566,14,",",12
1567,191,,7
1568,41123, Millenn,26
1569,191,,12
1570,191,,9
1571,248, a,13
1572,248, a,14
1573,1055,led,100
1574,2614,www,8
1575,534,"

",7
1576,28933, '.,6
1577,3412, acid,90
1578,2069, body,100
1579,4718, maximum,100
1580,191,,7
1581,5565, wish,100
1582,931, data,100
1583,8006,Manager,100
1584,191,,11
1585,1602, ask,100
1586,191,,13
1587,191,,8
1588,457,’,100
1589,561, out,60
1590,11619, AC,13
1591,191,,9
1592,191,,12
